Company,Type,10Y_Beta,5Y_Beta,3Y_Beta,Weighted_Beta,Relevered_Beta
RIO AU Equity,Target,0.8774460920803984,0.9440715808927003,0.8856422163290372,0.8982005264077932,N/A
BHP AU Equity,Comparator,1.1141568271945874,1.0709598828324807,1.0593700966737543,1.0759642258436442,1.1145247073401297
FMG AU Equity,Comparator,0.9521970444883034,1.2780331125639468,1.3335778193458687,1.224346448935997,1.304638375452844
1208 HK Equity,Comparator,1.3735542413650697,1.4204153085095168,1.3861982386179748,1.3915915067776339,0.9259552460097197
010130 KS Equity,Comparator,0.6916115064982338,0.7635045291681808,0.7977376095010256,0.7626478136671164,0.8662647720787374
FM CN Equity,Comparator,1.869319649536033,1.5184893647860476,1.491043819105262,1.5924741631331512,1.2985885945728552
MIN AU Equity,Comparator,1.6047611519482463,2.1032083701192184,2.4750651255971503,2.1645249433154414,1.6086438227598416
HZ IN Equity,Comparator,0.6712807398558577,0.7316826191468733,0.6012574282003238,0.6513695538508446,0.7399306279301281
HBM CN Equity,Comparator,1.7612527726638718,1.6487915407597253,1.7156062865670834,1.710314221639441,1.7114913168122976
RIO_SPECIFIC,Recommendation,N/A,N/A,N/A,0.8982005264077932,N/A
PURE_INDUSTRY_MEAN,Recommendation,N/A,N/A,N/A,1.196254682869569,N/A
BLENDED_70_30,Recommendation,N/A,N/A,N/A,0.9876167733463259,N/A
BLENDED_60_40,Recommendation,N/A,N/A,N/A,1.0174221889925037,N/A
BLENDED_80_20,Recommendation,N/A,N/A,N/A,0.9578113577001485,N/A
